,,,Total population (Both sexes),Japanese population (Both sexes),Foreigners (Total),Basic resident register population (Total),Total population (under 15),Total population (15-64),Total population (65 and over),Densely inhabited districts population,Number of live births,Number of deaths,Number of in-migrants from other municipalities,Number of out-migrants to other municipalities,Daytime population,Number of households (Total),Number of private households,Nuclear families,One-person households,Number of nuclear families with household members 65 years of age and over,Number of aged-couple households (Only aged couple),Number of aged-single-person households (Aged 65 and over),Marriages,Divorces,
,,,A1101,A1102,A1700,A2301,A1301,A1302,A1303,A1801,A4101,A4200,A5103,A5104,A6107,A7101,A710101,A810102,A810105,A811102,A8201,A8301,A9101,A9201,
1391,島牧村　　　　,Shimamaki-mura,"1,499","1,498",1,"1,410",118,773,608,...,9,23,31,44,"1,405",661,656,368,235,205,125,147,4,0,1391
1392,寿都町　　　　,Suttsu-cho,"3,137","3,101",36,"2,887",319,"1,658","1,160",...,14,47,118,141,"3,192","1,420","1,413",724,602,374,223,296,7,5,1392
1393,黒松内町　　　,Kuromatsunai-cho,"3,082","3,078",4,"2,735",348,"1,583","1,151",...,9,42,141,161,"3,066","1,336","1,327",672,586,336,231,242,11,3,1393
1394,蘭越町　　　　,Rankoshi-cho,"4,843","4,827",16,"4,605",506,"2,536","1,801",...,31,95,212,204,"4,672","2,086","2,053","1,233",627,621,392,312,10,11,1394
1395,ニセコ町　　　,Niseko-cho,"4,958","4,812",143,"4,996",652,"2,893","1,322",...,42,56,350,480,"4,880","2,274","2,270","1,166",905,446,253,248,25,4,1395
1396,真狩村　　　　,Makkari-mura,"2,103","2,091",12,"2,010",239,"1,165",698,...,13,29,96,145,"2,193",855,852,454,291,217,126,120,7,3,1396
1397,留寿都村　　　,Rusutsu-mura,"1,907","1,854",53,"1,911",243,"1,202",462,...,14,18,159,151,"2,290",915,912,397,431,154,91,77,2,2,1397
1398,喜茂別町　　　,Kimobetsu-cho,"2,294","2,282",12,"2,131",207,"1,204",866,...,11,40,98,116,"2,260","1,123","1,119",514,511,289,191,160,7,2,1398
1399,京極町　　　　,Kyogoku-cho,"3,187","3,174",11,"2,927",388,"1,645","1,144",...,20,54,134,143,"3,278","1,281","1,278",750,388,348,212,143,10,3,1399
1400,倶知安町　　　,Kutchan-cho,"15,018","14,826",161,"15,123","2,125","9,097","3,708","10,559",126,121,"1,229","1,471","15,681","6,974","6,943","3,682","2,820","1,334",790,739,98,35,1400
1401,共和町　　　　,Kyowa-cho,"6,224","6,220",4,"5,730",721,"3,670","1,824",...,43,84,231,310,"5,784","2,854","2,851","1,430","1,150",617,351,351,32,7,1401
1402,岩内町　　　　,Iwanai-cho,"13,042","13,008",26,"11,983","1,367","7,241","4,408","10,272",57,216,367,536,"12,254","6,228","6,215","3,313","2,457","1,517",879,"1,178",43,22,1402
1403,泊村　　　　　,Tomari-mura,"1,771","1,769",2,"1,561",195,951,625,...,9,41,47,70,"3,079",886,884,387,448,182,89,176,3,2,1403
1404,神恵内村　　　,Kamoenai-mura,"1,004","1,004",0,815,78,468,458,...,4,20,20,29,924,434,429,215,174,124,69,92,2,2,1404
1405,積丹町　　　　,Shakotan-cho,"2,115","2,115",0,"1,922",191,996,926,...,4,39,46,74,"1,990",994,993,535,361,337,187,246,1,1,1405
1406,古平町　　　　,Furubira-cho,"3,188","3,161",27,"2,900",253,"1,641","1,294",...,3,56,42,99,"3,107","1,446","1,407",758,524,447,249,322,3,8,1406
1407,仁木町　　　　,Niki-cho,"3,498","3,355",143,"3,216",351,"1,847","1,300",...,19,56,179,188,"3,632","1,480","1,458",756,544,426,251,235,11,5,1407
1408,余市町　　　　,Yoichi-cho,"19,607","19,492",115,"18,253","1,995","10,452","7,130","8,913",83,288,582,697,"19,027","8,769","8,658","4,879","3,051","2,445","1,470","1,499",42,21,1408
1409,赤井川村　　　,Akaigawa-mura,"1,121","1,100",21,"1,176",139,618,364,...,7,16,95,111,"1,242",534,532,268,234,131,83,77,4,3,1409
1423,南幌町　　　　,Nanporo-cho,"7,927","7,892",35,"7,447",739,"4,825","2,362",...,36,90,284,262,"6,854","2,973","2,961","2,022",581,833,473,296,13,12,1423
1424,奈井江町　　　,Naie-cho,"5,674","5,666",8,"5,235",516,"2,945","2,212",...,21,85,152,190,"6,042","2,466","2,452","1,399",837,735,471,448,15,10,1424
1425,上砂川町　　　,Kamisunagawa-cho,"3,479","3,470",9,"2,801",258,"1,567","1,654",...,11,69,70,91,"3,165","1,744","1,740",885,732,525,299,488,5,5,1425
1427,由仁町　　　　,Yuni-cho,"5,314","5,304",10,"4,933",538,"2,773","2,003",...,16,83,122,189,"5,326","2,149","2,144","1,239",603,669,403,347,12,8,1427
1428,長沼町　　　　,Naganuma-cho,"11,076","11,061",12,"10,515","1,166","6,065","3,840",...,50,145,331,371,"11,140","4,257","4,239","2,613","1,070","1,264",744,557,30,18,1428
1429,栗山町　　　　,Kuriyama-cho,"12,344","12,283",61,"11,474","1,277","6,473","4,594","6,441",60,183,385,436,"12,379","5,186","5,158","2,977","1,638","1,511",945,807,30,13,1429
1430,月形町　　　　,Tsukigata-cho,"4,577","4,558",19,"3,080",268,"2,840","1,468",...,12,69,217,200,"4,947","1,466","1,437",739,548,398,227,221,5,3,1430
1431,浦臼町　　　　,Urausu-cho,"1,985","1,981",4,"1,749",197,"1,019",769,...,7,30,53,70,"1,995",850,847,477,268,257,162,129,4,1,1431
1432,新十津川町　　,Shintotsukawa-cho,"6,831","6,825",6,"6,548",755,"3,443","2,631",...,27,95,244,164,"6,334","2,570","2,557","1,665",542,847,519,338,20,7,1432
1433,妹背牛町　　　,Moseushi-cho,"3,091","3,083",8,"2,827",274,"1,468","1,349",...,7,56,45,69,"3,083","1,269","1,266",740,340,439,304,196,7,1,1433
1434,秩父別町　　　,Chippubetsu-cho,"2,513","2,511",2,"2,365",227,"1,235","1,051",...,14,37,67,79,"2,395","1,017","1,014",601,272,321,209,165,5,5,1434
1436,雨竜町　　　　,Uryu-cho,"2,749","2,739",10,"2,258",262,"1,445","1,042",...,4,44,53,77,"2,823","1,005",999,615,266,310,215,152,5,1,1436
1437,北竜町　　　　,Hokuryu-cho,"1,981","1,979",2,"1,756",179,942,860,...,11,40,41,49,"1,987",782,778,439,200,266,174,110,6,1,1437
1438,沼田町　　　　,Numata-cho,"3,181","3,180",1,"2,975",283,"1,602","1,296",...,14,41,114,123,"3,225","1,333","1,329",761,421,424,267,182,4,4,1438
