,,,Total population (Both sexes),Japanese population (Both sexes),Foreigners (Total),Basic resident register population (Total),Total population (under 15),Total population (15-64),Total population (65 and over),Densely inhabited districts population,Number of live births,Number of deaths,Number of in-migrants from other municipalities,Number of out-migrants to other municipalities,Daytime population,Number of households (Total),Number of private households,Nuclear families,One-person households,Number of nuclear families with household members 65 years of age and over,Number of aged-couple households (Only aged couple),Number of aged-single-person households (Aged 65 and over),Marriages,Divorces,
,,,A1101,A1102,A1700,A2301,A1301,A1302,A1303,A1801,A4101,A4200,A5103,A5104,A6107,A7101,A710101,A810102,A810105,A811102,A8201,A8301,A9101,A9201,
25,滋賀県　　　,Shiga-ken,"1,412,916","1,386,795","19,886","1,418,886","203,450","857,720","337,877","701,946","10,437","13,039","49,357","49,329","1,363,716","537,550","536,706","315,383","152,713","114,309","61,266","44,325","5,878","2,050",25
25201,大津市　　　　,Otsu-shi,"340,973","336,584","3,167","344,218","47,815","207,110","83,118","268,627","2,419","3,173","11,823","10,748","310,543","136,153","135,957","86,080","39,153","31,244","17,351","13,550","1,393",487,25201
25202,彦根市　　　　,Hikone-shi,"113,679","111,315","1,655","112,546","15,979","70,040","26,223","64,905",772,"1,042","3,900","4,438","114,609","45,546","45,473","25,339","15,044","8,869","4,779","3,898",505,174,25202
25203,長浜市　　　　,Nagahama-shi,"118,193","113,949","2,391","116,840","16,132","68,787","31,244","33,258",815,"1,221","2,431","2,953","116,191","41,788","41,730","21,953","10,951","9,303","4,727","3,638",432,154,25203
25204,近江八幡市　　,Omihachiman-shi,"81,312","80,179","1,037","82,343","11,752","48,372","20,726","29,639",618,817,"3,020","2,574","74,192","29,784","29,751","18,170","7,206","6,946","3,706","2,503",349,136,25204
25206,草津市　　　　,Kusatsu-shi,"137,247","134,938","1,437","135,850","19,741","87,537","26,879","103,264","1,083",890,"6,590","5,869","146,956","60,224","60,180","30,822","24,864","9,989","5,517","3,535",583,179,25206
25207,守山市　　　　,Moriyama-shi,"79,859","79,037",575,"84,511","13,597","48,523","16,381","55,052",731,607,"3,353","2,837","72,342","29,052","29,018","18,673","6,948","5,789","3,109","1,915",370,111,25207
25208,栗東市　　　　,Ritto-shi,"66,749","65,815",908,"70,369","12,256","42,658","11,721","44,491",798,454,"3,458","3,527","65,599","24,592","24,574","16,768","5,493","4,377","2,289","1,480",458,133,25208
25209,甲賀市　　　　,Koka-shi,"90,901","88,463","2,237","90,194","12,503","54,758","23,205","17,775",586,945,"2,665","2,853","90,119","32,366","32,268","18,316","8,102","6,985","3,586","2,388",319,136,25209
25210,野洲市　　　　,Yasu-shi,"49,889","49,098",332,"50,983","7,318","29,963","11,956","23,365",419,437,"1,788","1,926","49,486","18,143","18,129","11,063","4,391","4,128","2,209","1,218",219,64,25210
25211,湖南市　　　　,Konan-shi,"54,289","52,206","1,975","55,033","7,588","34,727","11,576","27,967",381,441,"2,141","2,388","53,007","21,286","21,257","12,544","6,504","4,283","2,264","1,406",242,84,25211
25212,高島市　　　　,Takashima-shi,"50,025","49,607",377,"47,544","5,861","28,055","16,018",...,248,646,"1,169","1,459","47,301","18,149","18,087","10,756","4,186","5,051","2,868","2,156",161,56,25212
25213,東近江市　　　,Higashiomi-shi,"114,180","111,678","2,276","113,642","16,495","69,096","28,095","33,603",818,"1,075","3,514","3,887","106,440","40,691","40,584","22,765","10,573","8,336","4,303","3,339",465,182,25213
25214,米原市　　　　,Maibara-shi,"38,719","38,324",329,"38,525","5,229","22,646","10,706",...,268,480,856,"1,097","35,188","13,236","13,221","7,757","2,728","3,271","1,724","1,223",122,40,25214
25383,日野町　　　　,Hino-cho,"21,873","21,494",301,"21,303","2,835","12,840","6,088",...,139,242,657,772,"21,714","7,728","7,720","4,114","1,993","1,778",894,596,71,42,25383
25384,竜王町　　　　,Ryuo-cho,"12,434","12,300",132,"11,848","1,667","7,788","2,970",...,68,130,460,546,"17,264","4,266","4,247","2,068","1,224",787,384,192,44,5,25384
25425,愛荘町　　　　,Aisho-cho,"20,778","20,186",584,"21,420","3,642","12,570","4,487",...,145,173,942,838,"20,365","7,209","7,200","4,046","1,824","1,257",608,518,83,32,25425
25441,豊郷町　　　　,Toyosato-cho,"7,422","7,304",101,"7,350","1,156","4,273","1,959",...,42,77,258,243,"7,158","2,606","2,586","1,442",690,549,253,263,21,9,25441
25442,甲良町　　　　,Kora-cho,"7,039","6,992",43,"6,788",926,"4,009","2,098",...,27,81,125,183,"6,811","2,310","2,307","1,257",415,625,297,240,17,11,25442
25443,多賀町　　　　,Taga-cho,"7,355","7,326",29,"7,579",958,"3,968","2,427",...,60,108,207,191,"8,431","2,421","2,417","1,450",424,742,398,267,24,15,25443
26,京都府　　　,Kyoto-fu,"2,610,353","2,533,645","43,949","2,530,609","313,866","1,539,540","703,419","2,181,169","16,440","26,860","107,292","111,239","2,656,353","1,152,902","1,151,422","623,063","440,005","257,397","136,550","136,531","10,197","3,742",26
26100,京都市　　　　,Kyoto-shi,"1,475,183","1,412,924","34,608","1,400,720","162,141","886,422","381,132","1,407,087","9,251","14,880","71,123","73,143","1,608,216","705,874","705,142","339,598","319,562","137,840","70,016","86,310","6,270","2,182",26100
26101,　北区　　　　　,  Kita-ku,"119,474","113,823","2,339","109,137","12,404","71,026","32,027","112,285",616,"1,279","5,098","5,238","126,169","56,804","56,721","27,368","25,313","11,774","6,081","6,786",349,146,26101
26102,　上京区　　　　,  Kamigyo-ku,"85,113","79,894","2,158","75,630","7,608","50,468","21,538","85,113",355,909,"5,322","5,284","102,849","46,849","46,803","16,585","27,386","7,434","3,697","5,495",304,108,26102
26103,　左京区　　　　,  Sakyo-ku,"168,266","159,595","5,147","153,101","17,372","101,520","43,834","151,585",879,"1,689","7,702","8,040","178,891","83,423","83,306","36,238","41,965","15,467","7,935","9,246",521,181,26103
26104,　中京区　　　　,  Nakagyo-ku,"109,341","107,342","1,916","105,390","11,148","68,725","26,138","109,341",699,"1,095","7,321","7,544","158,150","59,085","59,048","23,147","32,722","8,932","4,400","7,488",529,165,26104
26105,　東山区　　　　,  Higashiyama-ku,"39,044","37,377",757,"34,171","2,895","22,142","12,238","38,739",152,528,"2,404","2,478","55,196","21,381","21,353","7,767","12,045","3,970","1,927","3,547",134,41,26105
26106,　下京区　　　　,  Shimogyo-ku,"82,668","78,160","1,757","76,594","7,669","52,671","18,184","82,668",553,799,"6,122","6,370","138,572","47,206","47,181","16,322","28,310","6,263","3,035","4,891",485,113,26106
26107,　南区　　　　　,  Minami-ku,"99,927","94,703","4,913","100,601","11,566","62,692","24,161","99,130",817,997,"6,449","5,907","137,208","47,094","47,068","23,472","20,387","8,676","4,103","6,273",637,187,26107
26108,　右京区　　　　,  Ukyo-ku,"204,262","196,292","4,676","194,215","23,283","120,369","53,086","193,425","1,349","2,076","8,469","8,504","191,142","94,525","94,425","48,147","39,637","19,378","9,836","11,409",846,325,26108
26109,　伏見区　　　　,  Fushimi-ku,"280,655","270,861","7,119","273,008","33,193","168,374","73,539","266,480","1,841","2,863","11,142","12,372","274,247","125,947","125,828","68,132","49,020","26,765","13,542","16,640","1,237",439,26109
26110,　山科区　　　　,  Yamashina-ku,"135,471","131,984","1,722","130,120","15,370","78,506","38,612","129,242",884,"1,357","5,454","5,076","123,262","60,451","60,348","32,997","23,104","13,874","7,166","8,424",621,237,26110
26111,　西京区　　　　,  Nishikyo-ku,"150,962","142,893","2,104","148,753","19,633","89,929","37,775","139,079","1,106","1,288","5,640","6,330","122,530","63,109","63,061","39,423","19,673","15,307","8,294","6,111",607,240,26111
26201,福知山市　　　,Fukuchiyama-shi,"78,935","77,894",729,"77,061","10,917","44,673","22,787","38,022",585,954,"2,529","2,813","83,432","32,170","32,065","18,216","10,357","7,466","4,401","4,021",349,109,26201
26202,舞鶴市　　　　,Maizuru-shi,"83,990","82,967",789,"80,910","11,276","46,768","25,428","58,260",572,"1,004","3,430","3,980","82,767","34,709","34,619","19,967","11,347","8,920","5,032","4,712",341,109,26202
26203,綾部市　　　　,Ayabe-shi,"33,821","33,494",258,"32,851","3,910","17,349","12,448","12,046",196,496,810,913,"34,822","13,766","13,734","7,915","4,087","4,093","2,443","2,205",99,49,26203
26204,宇治市　　　　,Uji-shi,"184,678","180,950","2,106","184,995","24,236","107,970","49,549","180,546","1,107","1,796","5,808","6,092","162,671","73,317","73,218","48,354","19,695","20,033","10,876","7,698",650,281,26204
26205,宮津市　　　　,Miyazu-shi,"18,426","18,316",105,"17,397","1,870","9,186","7,362","5,822",86,318,486,586,"19,691","7,738","7,710","4,349","2,403","2,397","1,403","1,360",58,21,26205
26206,亀岡市　　　　,Kameoka-shi,"89,479","88,163",662,"87,847","11,845","53,179","23,457","61,048",517,876,"2,172","2,438","76,543","33,915","33,863","22,307","8,049","8,872","4,879","3,229",290,141,26206
26207,城陽市　　　　,Joyo-shi,"76,869","76,242",488,"75,734","9,311","43,399","23,922","69,223",428,785,"2,136","2,172","63,578","29,884","29,837","20,676","6,796","9,756","5,424","3,360",250,85,26207
26208,向日市　　　　,Muko-shi,"53,380","52,895",400,"57,316","7,429","31,453","14,320","53,107",458,530,"1,921","2,113","42,888","21,356","21,345","14,564","5,433","5,782","3,020","2,578",224,83,26208
26209,長岡京市　　　,Nagaokakyo-shi,"80,090","79,390",512,"81,061","11,242","47,839","20,546","78,900",610,678,"3,000","3,054","73,379","32,491","32,449","21,525","9,058","8,235","4,528","3,365",305,105,26209
26210,八幡市　　　　,Yawata-shi,"72,664","71,936",656,"70,398","9,485","42,516","20,507","66,888",323,680,"2,070","2,342","64,233","29,259","29,238","19,584","7,509","8,252","4,529","3,576",234,102,26210
26211,京田辺市　　　,Kyotanabe-shi,"70,835","69,195",684,"70,513","10,572","43,750","15,943","54,480",481,553,"2,837","2,553","70,910","29,693","29,660","17,201","10,652","6,268","3,597","2,220",231,87,26211
26212,京丹後市　　　,Kyotango-shi,"55,054","54,711",339,"53,674","6,700","28,907","19,421","5,258",291,758,921,"1,134","53,394","20,469","20,425","11,626","4,881","5,983","3,203","2,795",147,61,26212
26213,南丹市　　　　,Nantan-shi,"33,145","32,783",204,"31,074","3,551","18,240","10,957","7,311",165,523,"1,102","1,178","34,644","12,783","12,731","6,558","4,165","3,242","1,778","1,481",102,42,26213
26214,木津川市　　　,Kizugawa-shi,"72,840","72,165",391,"79,038","12,532","43,272","16,648","37,648",633,585,"3,055","2,336","57,302","26,656","26,624","19,132","5,262","6,514","3,776","2,132",245,115,26214
26303,大山崎町　　　,Oyamazaki-cho,"15,181","15,069",98,"16,364","2,138","8,895","4,112","14,421",193,130,816,602,"13,110","5,993","5,987","4,255","1,358","1,742",997,629,82,23,26303
26322,久御山町　　　,Kumiyama-cho,"15,805","15,252",282,"15,787","2,022","8,883","4,510","11,737",77,159,628,726,"28,086","6,216","6,212","3,762","1,757","1,651",835,716,60,25,26322
26343,井手町　　　　,Ide-cho,"7,910","7,855",55,"7,300",858,"4,585","2,462",...,38,96,205,244,"6,865","3,059","3,058","1,883",797,884,469,400,25,11,26343
26344,宇治田原町　　,Ujitawara-cho,"9,319","9,172",142,"9,131","1,196","5,632","2,488",...,34,101,263,303,"9,234","3,232","3,228","2,081",611,857,462,289,38,17,26344
26364,笠置町　　　　,Kasagi-cho,"1,368","1,363",5,"1,248",63,678,627,...,1,28,19,40,"1,122",573,573,327,158,212,123,115,2,2,26364
26365,和束町　　　　,Wazuka-cho,"3,956","3,946",10,"3,768",328,"2,022","1,606",...,15,72,61,102,"3,382","1,445","1,444",802,304,507,288,216,10,7,26365
26366,精華町　　　　,Seika-cho,"36,376","36,176",198,"37,131","5,830","22,705","7,838","19,365",219,247,"1,076","1,266","28,525","12,775","12,767","9,564","2,061","3,062","1,759",868,102,45,26366
26367,南山城村　　　,Minamiyamashiro-mura,"2,652","2,626",12,"2,604",175,"1,353","1,105",...,6,38,57,102,"2,220","1,068","1,068",603,257,358,230,179,4,0,26367
26407,京丹波町　　　,Kyotamba-cho,"14,453","14,341",110,"13,616","1,389","7,283","5,769",...,46,214,305,441,"13,543","5,448","5,434","3,061","1,309","1,795","1,045",854,30,18,26407
26463,伊根町　　　　,Ine-cho,"2,110","2,105",5,"2,031",162,971,977,...,13,37,40,58,"1,979",873,871,421,254,297,175,164,2,2,26463
26465,与謝野町　　　,Yosano-cho,"21,834","21,715",101,"21,040","2,688","11,610","7,498",...,95,322,422,508,"19,817","8,140","8,120","4,732","1,883","2,379","1,262","1,059",47,20,26465
27,大阪府　　　,Osaka-fu,"8,839,469","8,524,530","150,890","8,839,532","1,093,111","5,341,654","2,278,324","8,455,530","61,878","91,644","412,279","398,923","9,224,306","3,923,887","3,918,441","2,197,734","1,470,615","842,896","439,619","520,292","40,989","14,832",27
27100,大阪市　　　　,Osaka-shi,"2,691,185","2,497,380","79,568","2,739,963","295,298","1,682,798","668,698","2,690,732","20,152","29,598","191,381","174,579","3,543,449","1,354,793","1,352,413","608,983","657,205","223,138","108,394","201,070","16,262","5,219",27100
27102,　都島区　　　　,  Miyakojima-ku,"104,727","94,914","1,749","105,550","11,901","66,489","24,281","104,727",759,"1,126","6,759","6,487","101,752","51,549","51,505","24,328","23,791","8,514","4,187","6,619",587,186,27102
27103,　福島区　　　　,  Fukushima-ku,"72,484","65,335",691,"78,144","8,470","48,395","14,181","72,484",860,545,"6,354","5,733","90,062","37,510","37,485","16,191","18,957","5,099","2,385","3,635",654,109,27103
27104,　此花区　　　　,  Konohana-ku,"66,656","62,841","1,022","65,992","7,894","40,818","17,285","66,656",414,745,"3,493","3,466","81,835","30,712","30,685","16,257","12,070","6,225","2,930","4,467",314,117,27104
27106,　西区　　　　　,  Nishi-ku,"92,430","76,015","1,428","103,118","10,211","65,514","14,491","92,430","1,019",628,"10,933","9,606","176,835","52,138","52,106","19,324","29,889","4,952","2,346","3,934",937,226,27106
27107,　港区　　　　　,  Minato-ku,"82,035","76,417","1,543","80,744","8,799","49,585","21,692","82,035",505,981,"4,399","4,262","86,503","40,348","40,323","18,631","19,037","7,499","3,557","6,019",410,154,27107
27108,　大正区　　　　,  Taisho-ku,"65,141","63,592",918,"64,243","7,292","38,152","19,548","65,141",368,873,"2,340","2,597","66,706","29,209","29,172","15,817","11,049","6,840","3,227","5,162",262,126,27108
27109,　天王寺区　　　,  Tennoji-ku,"75,729","70,187","3,363","79,613","9,523","49,163","14,529","75,729",709,586,"6,928","5,788","120,107","38,058","38,014","17,218","18,399","4,962","2,408","4,121",435,154,27109
27111,　浪速区　　　　,  Naniwa-ku,"69,766","60,402","5,605","70,134","4,630","48,428","12,738","69,766",499,650,"10,966","9,661","105,451","47,541","47,440","10,887","34,417","3,321","1,483","5,303",648,171,27111
27113,　西淀川区　　　,  Nishiyodogawa-ku,"95,490","92,719","2,335","97,769","12,339","59,469","23,332","95,490",673,"1,003","5,446","5,171","100,067","42,924","42,889","23,029","16,640","8,307","3,877","6,090",477,167,27113
27114,　東淀川区　　　,  Higashiyodogawa-ku,"175,530","166,962","4,812","172,542","18,256","112,436","41,124","175,530","1,219","1,774","11,788","10,987","170,474","92,536","92,435","38,350","48,808","14,134","6,976","12,219","1,204",327,27114
27115,　東成区　　　　,  Higashinari-ku,"80,563","74,307","5,071","84,619","8,783","49,930","20,316","80,563",598,836,"6,645","6,407","79,705","39,683","39,637","17,750","18,785","6,611","3,049","5,518",513,143,27115
27116,　生野区　　　　,  Ikuno-ku,"130,167","100,803","16,369","127,030","11,982","76,786","40,621","130,167",762,"1,553","8,236","7,737","128,407","63,622","63,532","27,758","30,741","12,381","5,660","13,108",596,234,27116
27117,　旭区　　　　　,  Asahi-ku,"91,608","86,722","1,274","90,279","9,519","54,894","26,834","91,608",598,"1,156","5,132","4,651","86,028","43,700","43,664","22,524","18,087","9,478","4,785","7,212",444,170,27117
27118,　城東区　　　　,  Joto-ku,"164,697","154,530","3,118","171,040","20,420","101,894","41,082","164,697","1,422","1,756","9,495","8,989","145,138","76,455","76,379","40,851","30,526","14,729","7,345","10,967",925,286,27118
27119,　阿倍野区　　　,  Abeno-ku,"107,626","104,647","1,608","111,246","13,312","65,949","27,171","107,626",838,"1,137","6,699","6,265","118,445","50,104","50,055","25,859","20,949","9,293","4,572","7,780",514,177,27119
27120,　住吉区　　　　,  Sumiyoshi-ku,"154,239","147,388","2,526","152,827","18,277","93,184","41,553","154,239","1,100","1,779","8,006","7,590","142,865","71,718","71,658","37,069","29,756","13,841","6,821","11,905",745,294,27120
27121,　東住吉区　　　,  Higashisumiyoshi-ku,"126,299","120,914","2,095","131,843","14,352","74,568","36,601","126,299",909,"1,704","7,846","6,511","113,615","57,797","57,681","29,907","23,312","11,985","5,956","10,036",686,254,27121
27122,　西成区　　　　,  Nishinari-ku,"111,883","103,321","4,929","105,586","7,730","57,633","41,187","111,883",330,"2,576","8,104","6,564","115,630","69,225","68,230","18,242","46,291","8,299","3,791","22,456",392,170,27122
27123,　淀川区　　　　,  Yodogawa-ku,"176,201","170,079","4,806","180,268","18,139","115,840","39,965","176,201","1,431","1,594","14,626","13,127","228,116","94,460","94,400","38,327","50,390","13,631","6,511","12,351","1,386",362,27123
27124,　鶴見区　　　　,  Tsurumi-ku,"111,557","108,343","1,443","113,342","17,298","69,038","24,082","111,557","1,002","1,038","5,121","4,823","96,997","46,358","46,325","28,739","14,300","9,060","4,592","5,374",515,188,27124
