,,,,,,総数,0歳～4歳,5歳～9歳,10歳～14歳,15歳～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～74歳,75歳～79歳,80歳～84歳,85歳～89歳,90歳以上,総数,0歳～4歳,5歳～9歳,10歳～14歳,15歳～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～74歳,75歳～79歳,80歳～84歳,85歳～89歳,90歳以上,総数,0歳～4歳,5歳～9歳,10歳～14歳,15歳～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～74歳,75歳～79歳,80歳～84歳,85歳～89歳,90歳以上
全国・都道府県コード,全国・都道府県,国籍コード,国籍,移動前・移動後の住所地コード,移動前・移動後の住所地,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人
1000,北海道,60000,移動者,48000,東京圏,-2640,284,45,-47,-885,-3192,-668,177,301,137,161,206,318,383,204,131,-20,-45,-83,-47,-433,141,38,-28,-331,-1387,-312,123,213,108,119,179,198,264,177,105,-13,16,-23,-20,-2207,143,7,-19,-554,-1805,-356,54,88,29,42,27,120,119,27,26,-7,-61,-60,-27
1000,北海道,60000,移動者,49000,名古屋圏,-18,46,12,15,80,-233,-42,-41,24,18,4,38,10,32,26,2,4,-6,-4,-3,38,11,0,5,59,-112,-2,-4,9,1,-4,19,10,23,19,6,5,-4,-3,0,-56,35,12,10,21,-121,-40,-37,15,17,8,19,0,9,7,-4,-1,-2,-1,-3
1000,北海道,60000,移動者,50000,大阪圏,46,-7,8,7,-157,-74,41,63,37,10,24,3,37,8,33,0,13,-4,8,-4,150,-5,13,6,-59,33,44,14,27,4,3,17,28,9,7,5,6,-3,3,-2,-104,-2,-5,1,-98,-107,-3,49,10,6,21,-14,9,-1,26,-5,7,-1,5,-2
1000,北海道,60000,移動者,100,21大都市計,-11872,487,-306,-331,-2662,-5881,-1184,144,73,-216,-108,-180,49,29,-66,-181,-260,-474,-497,-308,-4518,204,-169,-170,-1051,-2367,-649,29,43,-23,52,-40,25,57,6,-20,-74,-135,-147,-89,-7354,283,-137,-161,-1611,-3514,-535,115,30,-193,-160,-140,24,-28,-72,-161,-186,-339,-350,-219
1000,北海道,60000,移動者,1100,札幌市,-10010,229,-364,-330,-1988,-2974,-751,-20,-230,-418,-320,-340,-222,-299,-236,-282,-259,-455,-470,-281,-4228,89,-212,-175,-790,-1074,-490,-81,-150,-176,-33,-163,-156,-175,-106,-98,-79,-147,-132,-80,-5782,140,-152,-155,-1198,-1900,-261,61,-80,-242,-287,-177,-66,-124,-130,-184,-180,-308,-338,-201
1000,北海道,60000,移動者,4100,仙台市,4,14,-9,-11,-39,-44,22,17,8,5,11,4,13,2,7,5,-2,-2,2,1,6,7,-3,-7,-27,-21,3,16,-4,12,12,-3,6,5,6,2,0,-1,1,2,-2,7,-6,-4,-12,-23,19,1,12,-7,-1,7,7,-3,1,3,-2,-1,1,-1
1000,北海道,60000,移動者,11100,さいたま市,-95,-2,-4,0,2,-67,-23,-10,-11,-21,-1,10,17,14,8,3,-3,-4,2,-5,-17,-7,-5,-5,12,-24,-1,-4,5,-9,-10,10,10,8,7,1,-2,0,-1,-2,-78,5,1,5,-10,-43,-22,-6,-16,-12,9,0,7,6,1,2,-1,-4,3,-3
1000,北海道,60000,移動者,12100,千葉市,-73,6,-6,-7,-11,-50,-28,8,11,-4,-4,-11,19,14,6,1,-2,-5,-6,-4,-33,-1,-3,-6,3,-31,-21,6,7,3,-1,-13,17,6,4,3,-1,-1,-2,-2,-40,7,-3,-1,-14,-19,-7,2,4,-7,-3,2,2,8,2,-2,-1,-4,-4,-2
1000,北海道,60000,移動者,13100,東京都特別区部,-1280,162,47,13,-448,-1783,-364,84,199,147,125,95,132,157,84,77,5,-1,-9,-2,-382,90,33,6,-204,-830,-170,63,105,85,63,73,77,100,61,49,4,12,1,0,-898,72,14,7,-244,-953,-194,21,94,62,62,22,55,57,23,28,1,-13,-10,-2
1000,北海道,60000,移動者,14100,横浜市,-104,14,-9,-1,-36,-301,7,21,7,11,11,29,25,82,28,22,6,-8,-10,-2,115,11,3,5,0,-102,19,8,21,18,6,30,14,65,12,15,2,-2,-7,-3,-219,3,-12,-6,-36,-199,-12,13,-14,-7,5,-1,11,17,16,7,4,-6,-3,1
1000,北海道,60000,移動者,14130,川崎市,-97,50,31,6,-58,-292,-46,26,44,28,28,28,27,20,13,0,-3,3,-1,-1,5,28,17,4,-27,-149,-28,20,29,22,17,23,19,14,11,4,-1,3,-1,0,-102,22,14,2,-31,-143,-18,6,15,6,11,5,8,6,2,-4,-2,0,0,-1
1000,北海道,60000,移動者,14150,相模原市,-63,-1,-4,-2,-24,-40,-7,-17,5,0,7,2,9,9,5,3,1,0,-3,-6,-17,-1,-4,0,-12,-18,-5,-12,9,3,5,1,10,7,4,2,0,1,-3,-4,-46,0,0,-2,-12,-22,-2,-5,-4,-3,2,1,-1,2,1,1,1,-1,0,-2
1000,北海道,60000,移動者,15100,新潟市,46,-4,0,4,4,19,7,2,4,0,-3,5,9,0,0,0,1,-1,1,-2,31,0,-1,2,5,6,8,4,5,2,-6,2,5,-2,1,-1,1,0,0,0,15,-4,1,2,-1,13,-1,-2,-1,-2,3,3,4,2,-1,1,0,-1,1,-2
